"Selector","Fitness","VS Buy Hold (%)","Win/Loss Ratio","# Trades/Day","Strategy","Order Type","Ending Balance ($)","Buy Hold ($)","# Wins","# Losses","Period","Min Periods","# Days","Full Parameters"
"binanceus.BTC-USD",2.127445776745975,6.372288837298738,"Infinity",0.286,"bollinger","maker",519.9928526,488.8424027383229,4,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":1,""bollinger_lower_bound_pct"":17.162429955987406,""bollinger_size"":32,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":3.806434135916766,""buy_stop_pct"":18,""markdown_buy_pct"":-0.6154705495083683,""markup_sell_pct"":1.5672750968377347,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":17,""profit_stop_pct"":6,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":22.342212637599857,""start"":""202009192000""}"
"binanceus.BTC-USD",2.118950420490187,5.947521024509358,"Infinity",0.286,"bollinger","maker",518.71481392,489.59598950880894,4,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":6,""bollinger_lower_bound_pct"":17.162429955987406,""bollinger_size"":21,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.1225957122014298,""markup_sell_pct"":1.5672750968377347,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":19,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":513.5958843552002,""start"":""202009192000""}"
"binanceus.BTC-USD",2.103588355256586,5.179417762829304,"Infinity",0.143,"bollinger","maker",512.40108565,487.16858920575237,2,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":0,""bollinger_lower_bound_pct"":1.3514688992150314,""bollinger_size"":31,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.1225957122014298,""markup_sell_pct"":1.5672750968377347,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":19,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":25.94282364140014,""start"":""202009192000""}"
"binanceus.BTC-USD",2.058220930876047,2.911046543802346,"Infinity",0.071,"bollinger","maker",503.84835664,489.59598950880894,1,0,"66m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":7,""bollinger_lower_bound_pct"":17.162429955987406,""bollinger_size"":21,""bollinger_time"":3.7322643571081553,""bollinger_upper_bound_pct"":3.560162619596797,""buy_stop_pct"":18,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""66m"",""period_length"":""66m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":19,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":0.9680828911000017,""start"":""202009192000""}"
"binanceus.BTC-USD",1.498402775752707,2.4817175773175535,"Infinity",0,"bollinger","taker",500,487.8919009361586,0,0,"33m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":9,""bollinger_lower_bound_pct"":27.397031060964178,""bollinger_size"":35,""bollinger_time"":5.149901012289401,""bollinger_upper_bound_pct"":28.92575138064544,""buy_stop_pct"":41,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":4.920306059373914,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""33m"",""period_length"":""33m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":5,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
"binanceus.BTC-USD",1.4949548085879367,2.245897407391353,"Infinity",0,"bollinger","taker",500,489.01717592421954,0,0,"86m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":3,""bollinger_lower_bound_pct"":3.714855987251453,""bollinger_size"":11,""bollinger_time"":5.778661625182665,""bollinger_upper_bound_pct"":24.19143294665809,""buy_stop_pct"":33,""markdown_buy_pct"":2.8700349903339837,""markup_sell_pct"":2.6259492042395385,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""86m"",""period_length"":""86m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":42,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
"binanceus.BTC-USD",1.4930000880898102,2.112206308260198,"Infinity",0,"bollinger","maker",500,489.65742498069335,0,0,"32m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":5,""bollinger_lower_bound_pct"":5.324247301149036,""bollinger_size"":29,""bollinger_time"":1.5312156657603362,""bollinger_upper_bound_pct"":25.72255193652981,""buy_stop_pct"":2,""markdown_buy_pct"":-0.596526073892822,""markup_sell_pct"":0.007830003068871605,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""maker"",""period"":""32m"",""period_length"":""32m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":7,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":0,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
"binanceus.BTC-USD",1.492582695340739,2.0836591602427648,"Infinity",0,"bollinger","taker",500,489.7943550545538,0,0,"90m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":2,""bollinger_lower_bound_pct"":27.397031060964178,""bollinger_size"":11,""bollinger_time"":5.778661625182665,""bollinger_upper_bound_pct"":24.19143294665809,""buy_stop_pct"":33,""markdown_buy_pct"":1.3121679923806409,""markup_sell_pct"":2.6259492042395385,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""90m"",""period_length"":""90m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":42,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
"binanceus.BTC-USD",1.492582695340739,2.0836591602427648,"Infinity",0,"bollinger","taker",500,489.7943550545538,0,0,"90m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":8,""bollinger_lower_bound_pct"":27.397031060964178,""bollinger_size"":11,""bollinger_time"":5.149901012289401,""bollinger_upper_bound_pct"":24.19143294665809,""buy_stop_pct"":33,""markdown_buy_pct"":0.861431197979051,""markup_sell_pct"":2.6259492042395385,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""90m"",""period_length"":""90m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":1,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":42,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
"binanceus.BTC-USD",1.44157537285687,-1.4049342285015505,"Infinity",0,"bollinger","taker",500,507.1247694674579,0,0,"108m",1,14,"module.exports = {""avg_slippage_pct"":0.045,""backtester_generation"":4,""bollinger_lower_bound_pct"":26.261455083178753,""bollinger_size"":34,""bollinger_time"":1.642163030649493,""bollinger_upper_bound_pct"":28.92575138064544,""buy_stop_pct"":41,""markdown_buy_pct"":1.7087659474225476,""markup_sell_pct"":1.0508958375441293,""max_buy_loss_pct"":0,""max_sell_loss_pct"":0,""max_slippage_pct"":5,""min_periods"":1,""order_poll_time"":5000,""order_type"":""taker"",""period"":""108m"",""period_length"":""108m"",""profit_stop_enable_pct"":0,""profit_stop_pct"":17,""quarentine_time"":10,""rsi_periods"":14,""runGenerations"":5,""selector"":""binanceus.BTC-USD"",""sell_stop_pct"":47,""show_options"":true,""strategy"":""bollinger"",""symmetrical"":false,""net_currency"":500,""start"":""202009192000""}"
